/root/gym-minigrid/torch-rl/scripts/train.py --algo ppo --env MiniGrid-Customs-FourRoomsLava-11x11-v0 --model Lstm-Customs-FourRoomsLava-11x11 --recurrence 6 --save-interval 10 --frames 1500000

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-Customs-FourRoomsLava-11x11-v0', epochs=4, frames=1500000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=True, model='Lstm-Customs-FourRoomsLava-11x11', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=6, save_interval=10, seed=1, text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

/root/gym-minigrid/torch-rl/scripts/train.py --algo ppo --env MiniGrid-Customs-FourRoomsLava-11x11-v0 --model Lstm-Customs-FourRoomsLava-11x11 --recurrence 4 --save-interval 10 --frames 1500000

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-Customs-FourRoomsLava-11x11-v0', epochs=4, frames=1500000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=True, model='Lstm-Customs-FourRoomsLava-11x11', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=4, save_interval=10, seed=1, text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0528 | D 3 | rR:0.00 0.00 0.00 0.00 | F:5.2 20.3 0.0 84.0 | H 1.943 | V 0.069 | pL 0.014 | vL 0.000 |dL 0.014
U 2 | F 004096 | FPS 0529 | D 7 | rR:0.05 0.19 0.00 0.78 | F:34.7 78.6 0.0 241.0 | H 1.935 | V 0.076 | pL 0.007 | vL 0.002 |dL 0.011
U 3 | F 006144 | FPS 0408 | D 12 | rR:0.05 0.19 0.00 0.78 | F:85.8 126.1 0.0 382.0 | H 1.940 | V 0.066 | pL 0.014 | vL 0.000 |dL 0.005
U 4 | F 008192 | FPS 0496 | D 16 | rR:0.05 0.19 0.00 0.78 | F:141.5 167.6 0.0 466.0 | H 1.942 | V 0.054 | pL 0.011 | vL 0.000 |dL 0.003
U 5 | F 010240 | FPS 0504 | D 21 | rR:0.05 0.19 0.00 0.78 | F:141.5 167.6 0.0 466.0 | H 1.944 | V 0.045 | pL 0.008 | vL 0.000 |dL 0.002
U 6 | F 012288 | FPS 0513 | D 25 | rR:0.05 0.19 0.00 0.78 | F:185.2 210.8 0.0 700.0 | H 1.945 | V 0.038 | pL 0.007 | vL 0.000 |dL 0.002
U 7 | F 014336 | FPS 0515 | D 29 | rR:0.08 0.21 0.00 0.78 | F:252.8 228.6 0.0 700.0 | H 1.940 | V 0.036 | pL 0.003 | vL 0.001 |dL 0.006
U 8 | F 016384 | FPS 0536 | D 32 | rR:0.03 0.11 0.00 0.43 | F:764.6 284.1 264.0 1000.0 | H 1.944 | V 0.025 | pL 0.007 | vL 0.000 |dL 0.003
U 9 | F 018432 | FPS 0514 | D 36 | rR:0.03 0.11 0.00 0.43 | F:702.7 381.5 37.0 1000.0 | H 1.945 | V 0.020 | pL 0.005 | vL 0.000 |dL 0.001
U 10 | F 020480 | FPS 0510 | D 40 | rR:0.00 0.00 0.00 0.00 | F:677.2 398.9 37.0 1000.0 | H 1.946 | V 0.017 | pL 0.003 | vL 0.000 |dL 0.001
Status saved
U 11 | F 022528 | FPS 0510 | D 44 | rR:0.00 0.00 0.00 0.00 | F:718.9 394.3 37.0 1000.0 | H 1.946 | V 0.015 | pL 0.003 | vL 0.000 |dL 0.001
U 12 | F 024576 | FPS 0523 | D 48 | rR:0.04 0.15 0.00 0.62 | F:474.2 398.5 30.0 1000.0 | H 1.941 | V 0.015 | pL -0.001 | vL 0.001 |dL 0.016
U 13 | F 026624 | FPS 0530 | D 52 | rR:0.04 0.15 0.00 0.62 | F:413.1 351.9 30.0 1000.0 | H 1.944 | V 0.012 | pL 0.002 | vL 0.000 |dL 0.004
U 14 | F 028672 | FPS 0516 | D 56 | rR:0.04 0.15 0.00 0.62 | F:487.4 324.7 30.0 1000.0 | H 1.945 | V 0.008 | pL 0.002 | vL 0.000 |dL 0.000
U 15 | F 030720 | FPS 0509 | D 60 | rR:0.04 0.15 0.00 0.62 | F:459.0 323.9 30.0 1000.0 | H 1.946 | V 0.008 | pL 0.002 | vL 0.000 |dL 0.001
U 16 | F 032768 | FPS 0510 | D 64 | rR:0.00 0.00 0.00 0.00 | F:504.7 341.8 94.0 1000.0 | H 1.946 | V 0.007 | pL 0.002 | vL 0.000 |dL 0.001
U 17 | F 034816 | FPS 0521 | D 68 | rR:0.00 0.00 0.00 0.00 | F:641.2 361.5 20.0 1000.0 | H 1.946 | V 0.006 | pL 0.001 | vL 0.000 |dL 0.000
