/root/gym-minigrid/torch-rl/scripts/train.py --algo ppo --env MiniGrid-Customs-FourRoomsLava-13x13-v0 --model MiniGrid-Customs-FourRoomsLava-13x13-v0 --recurrence 4 --save-interval 10 --frames 1000000

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-Customs-FourRoomsLava-13x13-v0', epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=True, model='MiniGrid-Customs-FourRoomsLava-13x13-v0', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=4, save_interval=10, seed=1, text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

/root/gym-minigrid/torch-rl/scripts/train.py --algo ppo --env MiniGrid-Customs-FourRoomsLava-13x13-v0 --model MiniGrid-Customs-FourRoomsLava-13x13-v0 --recurrence 4 --save-interval 10 --frames 1000000

Namespace(algo='ppo', batch_size=256, clip_eps=0.2, discount=0.99, entropy_coef=0.01, env='MiniGrid-Customs-FourRoomsLava-13x13-v0', epochs=4, frames=1000000, frames_per_proc=None, gae_lambda=0.95, log_interval=1, lr=0.001, max_grad_norm=0.5, mem=True, model='MiniGrid-Customs-FourRoomsLava-13x13-v0', optim_alpha=0.99, optim_eps=1e-08, procs=16, recurrence=4, save_interval=10, seed=1, text=False, value_loss_coef=0.5)

Device: cpu

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

ACModel(
  (image_conv): Sequential(
    (0): Conv2d(3, 16, kernel_size=(2, 2), stride=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=(2, 2), stride=(2, 2), padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(16, 32, kernel_size=(2, 2), stride=(1, 1))
    (4): ReLU()
    (5): Conv2d(32, 64, kernel_size=(2, 2), stride=(1, 1))
    (6): ReLU()
  )
  (memory_rnn): LSTMCell(64, 64)
  (actor): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=7, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=64, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 1 | F 002048 | FPS 0426 | D 4 | rR: 0.06 0.24 0.00 0.98 | F: 24.7 35.6 0.0 123.0 | H 1.939 | V 0.079 | pL 0.008 | vL 0.003 | dL 0.025
U 2 | F 004096 | FPS 0278 | D 12 | rR: 0.16 0.33 0.00 0.98 | F: 124.1 91.6 10.0 248.0 | H 1.943 | V 0.060 | pL -0.000 | vL 0.004 | dL 0.012
U 3 | F 006144 | FPS 0414 | D 17 | rR: 0.21 0.36 0.00 1.00 | F: 172.2 108.5 3.0 317.0 | H 1.940 | V 0.052 | pL 0.005 | vL 0.003 | dL 0.012
U 4 | F 008192 | FPS 0155 | D 30 | rR: 0.18 0.37 0.00 1.00 | F: 141.3 109.7 3.0 321.0 | H 1.933 | V 0.041 | pL -0.001 | vL 0.004 | dL 0.018
U 5 | F 010240 | FPS 0400 | D 35 | rR: 0.17 0.35 0.00 0.95 | F: 186.4 156.5 15.0 623.0 | H 1.937 | V 0.047 | pL -0.008 | vL 0.005 | dL 0.020
U 6 | F 012288 | FPS 0520 | D 39 | rR: 0.16 0.33 0.00 0.88 | F: 242.9 197.8 25.0 674.0 | H 1.937 | V 0.043 | pL 0.004 | vL 0.002 | dL 0.017
U 7 | F 014336 | FPS 0521 | D 43 | rR: 0.00 0.00 0.00 0.00 | F: 166.8 164.6 9.0 674.0 | H 1.944 | V 0.029 | pL 0.007 | vL 0.000 | dL 0.005
U 8 | F 016384 | FPS 0448 | D 48 | rR: 0.06 0.23 0.00 0.93 | F: 132.1 111.2 9.0 394.0 | H 1.940 | V 0.031 | pL -0.003 | vL 0.003 | dL 0.013
U 9 | F 018432 | FPS 0539 | D 51 | rR: 0.06 0.23 0.00 0.93 | F: 214.6 248.6 13.0 1000.0 | H 1.939 | V 0.020 | pL 0.005 | vL 0.000 | dL 0.005
U 10 | F 020480 | FPS 0572 | D 55 | rR: 0.12 0.31 0.00 0.93 | F: 302.6 356.7 13.0 1000.0 | H 1.942 | V 0.024 | pL -0.005 | vL 0.002 | dL 0.011
Status saved
U 11 | F 022528 | FPS 0546 | D 59 | rR: 0.12 0.31 0.00 0.97 | F: 277.2 364.5 2.0 1000.0 | H 1.934 | V 0.018 | pL -0.005 | vL 0.003 | dL 0.013
U 12 | F 024576 | FPS 0557 | D 62 | rR: 0.18 0.37 0.00 0.98 | F: 271.6 368.6 2.0 1000.0 | H 1.941 | V 0.020 | pL -0.002 | vL 0.003 | dL 0.017
U 13 | F 026624 | FPS 0589 | D 66 | rR: 0.17 0.36 0.00 0.98 | F: 240.2 317.2 3.0 1000.0 | H 1.936 | V 0.043 | pL -0.007 | vL 0.005 | dL 0.016
U 14 | F 028672 | FPS 0521 | D 70 | rR: 0.12 0.32 0.00 0.98 | F: 190.6 281.4 1.0 988.0 | H 1.938 | V 0.032 | pL 0.001 | vL 0.004 | dL 0.025
U 15 | F 030720 | FPS 0560 | D 74 | rR: 0.17 0.36 0.00 0.98 | F: 369.4 407.4 1.0 1000.0 | H 1.930 | V 0.066 | pL -0.002 | vL 0.005 | dL 0.019
U 16 | F 032768 | FPS 0532 | D 77 | rR: 0.22 0.39 0.00 0.98 | F: 265.9 313.2 5.0 1000.0 | H 1.929 | V 0.064 | pL -0.004 | vL 0.007 | dL 0.029
U 17 | F 034816 | FPS 0592 | D 81 | rR: 0.12 0.31 0.00 0.98 | F: 106.6 98.2 2.0 281.0 | H 1.918 | V 0.053 | pL 0.004 | vL 0.002 | dL 0.015
